id,Title,Medium,Dates,Place
edanmdm-siris_arc_399090,This Was the Time 1970,Motion Pictures,1970s,North America
edanmdm-siris_arc_398683,Indian America 1975,Motion Pictures,1970s,North America
edanmdm-siris_arc_398681,Kainai 1973,Motion Pictures,1970s,North America
edanmdm-siris_arc_399091,Greenlanders 1973,Motion Pictures,1970s,Europe
edanmdm-siris_arc_398761,The Hopi Way 1972,Motion Pictures,1970s,North America
edanmdm-siris_arc_398713,Totems 1962,Motion Pictures,1960s,North America
edanmdm-siris_arc_398727,Native American Myths 1976,Motion Pictures,1970s,North America
edanmdm-siris_arc_398758,Myths and the Moundbuilder 1981,Motion Pictures,1980s,North America
edanmdm-siris_arc_398722,Shelly Whitebird's First Powwow 1977,Motion Pictures,1970s,North America
edanmdm-siris_arc_398724,Our Native American Friends 1970,Motion Pictures,1970s,North America
edanmdm-siris_arc_398712,Colors of Pride 1973,Motion Pictures,1970s,North America
edanmdm-siris_arc_399073,Fox and Bear 1980,Motion Pictures,1980s,North America
edanmdm-siris_arc_399075,Quingalik and the Sea 1976,Motion Pictures,1970s,North America
edanmdm-siris_arc_398703,Our Totem is the Raven 1971,Motion Pictures,1970s,North America
